date,year,month,day,quarter,day_of_week,is_weekend,time_id
2020-07-13 07:59:29.070,2020,7,13,3,0,False,194
2020-07-14 07:59:29.070,2020,7,14,3,1,False,195
2020-07-15 07:59:29.070,2020,7,15,3,2,False,196
2020-07-16 07:59:29.070,2020,7,16,3,3,False,197
2020-07-17 07:59:29.070,2020,7,17,3,4,False,198
2020-07-18 07:59:29.070,2020,7,18,3,5,True,199
2020-07-19 07:59:29.070,2020,7,19,3,6,True,200
2020-07-20 07:59:29.070,2020,7,20,3,0,False,201
2020-07-21 07:59:29.070,2020,7,21,3,1,False,202
2020-07-22 07:59:29.070,2020,7,22,3,2,False,203
2020-07-23 07:59:29.070,2020,7,23,3,3,False,204
2020-07-24 07:59:29.070,2020,7,24,3,4,False,205
2020-07-25 07:59:29.070,2020,7,25,3,5,True,206
2020-07-26 07:59:29.070,2020,7,26,3,6,True,207
2020-07-27 07:59:29.070,2020,7,27,3,0,False,208
2020-07-28 07:59:29.070,2020,7,28,3,1,False,209
2020-07-29 07:59:29.070,2020,7,29,3,2,False,210
2020-07-30 07:59:29.070,2020,7,30,3,3,False,211
2020-07-31 07:59:29.070,2020,7,31,3,4,False,212
2020-08-01 07:59:29.070,2020,8,1,3,5,True,213
2020-08-02 07:59:29.070,2020,8,2,3,6,True,214
2020-08-03 07:59:29.070,2020,8,3,3,0,False,215
2020-08-04 07:59:29.070,2020,8,4,3,1,False,216
2020-08-05 07:59:29.070,2020,8,5,3,2,False,217
2020-08-06 07:59:29.070,2020,8,6,3,3,False,218
2020-08-07 07:59:29.070,2020,8,7,3,4,False,219
2020-08-08 07:59:29.070,2020,8,8,3,5,True,220
2020-08-09 07:59:29.070,2020,8,9,3,6,True,221
2020-08-10 07:59:29.070,2020,8,10,3,0,False,222
2020-08-11 07:59:29.070,2020,8,11,3,1,False,223
2020-08-12 07:59:29.070,2020,8,12,3,2,False,224
2020-08-13 07:59:29.070,2020,8,13,3,3,False,225
2020-08-14 07:59:29.070,2020,8,14,3,4,False,226
2020-08-15 07:59:29.070,2020,8,15,3,5,True,227
2020-08-16 07:59:29.070,2020,8,16,3,6,True,228
2020-08-17 07:59:29.070,2020,8,17,3,0,False,229
2020-08-18 07:59:29.070,2020,8,18,3,1,False,230
2020-08-19 07:59:29.070,2020,8,19,3,2,False,231
2020-08-20 07:59:29.070,2020,8,20,3,3,False,232
2020-08-21 07:59:29.070,2020,8,21,3,4,False,233
2020-08-22 07:59:29.070,2020,8,22,3,5,True,234
2020-08-23 07:59:29.070,2020,8,23,3,6,True,235
2020-08-24 07:59:29.070,2020,8,24,3,0,False,236
2020-08-25 07:59:29.070,2020,8,25,3,1,False,237
2020-08-26 07:59:29.070,2020,8,26,3,2,False,238
2020-08-27 07:59:29.070,2020,8,27,3,3,False,239
2020-08-28 07:59:29.070,2020,8,28,3,4,False,240
2020-08-29 07:59:29.070,2020,8,29,3,5,True,241
2020-08-30 07:59:29.070,2020,8,30,3,6,True,242
2020-08-31 07:59:29.070,2020,8,31,3,0,False,243
2020-09-01 07:59:29.070,2020,9,1,3,1,False,244
2020-09-02 07:59:29.070,2020,9,2,3,2,False,245
2020-09-03 07:59:29.070,2020,9,3,3,3,False,246
2020-09-04 07:59:29.070,2020,9,4,3,4,False,247
2020-09-05 07:59:29.070,2020,9,5,3,5,True,248
2020-09-06 07:59:29.070,2020,9,6,3,6,True,249
2020-09-07 07:59:29.070,2020,9,7,3,0,False,250
2020-09-08 07:59:29.070,2020,9,8,3,1,False,251
2020-09-09 07:59:29.070,2020,9,9,3,2,False,252
2020-09-10 07:59:29.070,2020,9,10,3,3,False,253
2020-09-11 07:59:29.070,2020,9,11,3,4,False,254
2020-09-12 07:59:29.070,2020,9,12,3,5,True,255
2020-09-13 07:59:29.070,2020,9,13,3,6,True,256
2020-09-14 07:59:29.070,2020,9,14,3,0,False,257
2020-09-15 07:59:29.070,2020,9,15,3,1,False,258
2020-09-16 07:59:29.070,2020,9,16,3,2,False,259
2020-09-17 07:59:29.070,2020,9,17,3,3,False,260
2020-09-18 07:59:29.070,2020,9,18,3,4,False,261
2020-09-19 07:59:29.070,2020,9,19,3,5,True,262
2020-09-20 07:59:29.070,2020,9,20,3,6,True,263
2020-09-21 07:59:29.070,2020,9,21,3,0,False,264
2020-09-22 07:59:29.070,2020,9,22,3,1,False,265
2020-09-23 07:59:29.070,2020,9,23,3,2,False,266
2020-09-24 07:59:29.070,2020,9,24,3,3,False,267
2020-09-25 07:59:29.070,2020,9,25,3,4,False,268
2020-09-26 07:59:29.070,2020,9,26,3,5,True,269
2020-09-27 07:59:29.070,2020,9,27,3,6,True,270
2020-09-28 07:59:29.070,2020,9,28,3,0,False,271
2020-09-29 07:59:29.070,2020,9,29,3,1,False,272
2020-09-30 07:59:29.070,2020,9,30,3,2,False,273
2020-10-01 07:59:29.070,2020,10,1,4,3,False,274
2020-10-02 07:59:29.070,2020,10,2,4,4,False,275
2020-10-03 07:59:29.070,2020,10,3,4,5,True,276
2020-10-04 07:59:29.070,2020,10,4,4,6,True,277
2020-10-05 07:59:29.070,2020,10,5,4,0,False,278
2020-10-06 07:59:29.070,2020,10,6,4,1,False,279
2020-10-07 07:59:29.070,2020,10,7,4,2,False,280
2020-10-08 07:59:29.070,2020,10,8,4,3,False,281
2020-10-09 07:59:29.070,2020,10,9,4,4,False,282
2020-10-10 07:59:29.070,2020,10,10,4,5,True,283
2020-10-11 07:59:29.070,2020,10,11,4,6,True,284
2020-10-12 07:59:29.070,2020,10,12,4,0,False,285
2020-10-13 07:59:29.070,2020,10,13,4,1,False,286
2020-10-14 07:59:29.070,2020,10,14,4,2,False,287
2020-10-15 07:59:29.070,2020,10,15,4,3,False,288
2020-10-16 07:59:29.070,2020,10,16,4,4,False,289
2020-10-17 07:59:29.070,2020,10,17,4,5,True,290
2020-10-18 07:59:29.070,2020,10,18,4,6,True,291
2020-10-19 07:59:29.070,2020,10,19,4,0,False,292
2020-10-20 07:59:29.070,2020,10,20,4,1,False,293
2020-10-21 07:59:29.070,2020,10,21,4,2,False,294
2020-10-22 07:59:29.070,2020,10,22,4,3,False,295
2020-10-23 07:59:29.070,2020,10,23,4,4,False,296
2020-10-24 07:59:29.070,2020,10,24,4,5,True,297
2020-10-25 07:59:29.070,2020,10,25,4,6,True,298
2020-10-26 07:59:29.070,2020,10,26,4,0,False,299
2020-10-27 07:59:29.070,2020,10,27,4,1,False,300
2020-10-28 07:59:29.070,2020,10,28,4,2,False,301
2020-10-29 07:59:29.070,2020,10,29,4,3,False,302
2020-10-30 07:59:29.070,2020,10,30,4,4,False,303
2020-10-31 07:59:29.070,2020,10,31,4,5,True,304
2020-11-01 07:59:29.070,2020,11,1,4,6,True,305
2020-11-02 07:59:29.070,2020,11,2,4,0,False,306
2020-11-03 07:59:29.070,2020,11,3,4,1,False,307
2020-11-04 07:59:29.070,2020,11,4,4,2,False,308
2020-11-05 07:59:29.070,2020,11,5,4,3,False,309
2020-11-06 07:59:29.070,2020,11,6,4,4,False,310
2020-11-07 07:59:29.070,2020,11,7,4,5,True,311
2020-11-08 07:59:29.070,2020,11,8,4,6,True,312
2020-11-09 07:59:29.070,2020,11,9,4,0,False,313
